vendor_count,is_chain,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,engagement_duration,tot_value_cui,preferred_order_day,preferred_order_hour,age_category
2.0,2.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,0.0,0.0,0.0,0.0,0.0,20.0,29.27,5.0,9.0,26
1.0,2.0,0.0,0.0,13.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.76,5.0,18.0,26
3.0,1.0,31.88,43.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,74.94,6.0,4.0,26
4.0,4.0,0.0,0.0,0.0,0.0,2.17,3.11,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.98,21.0,8.49,6.0,20.0,26
2.0,1.0,0.0,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.31,0.0,0.0,0.0,0.0,21.0,24.83,6.0,4.0,26
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,5.44,0.0,21.0,11.56,6.0,9.0,26
2.0,1.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,21.0,6.0600000000000005,6.0,16.0,26
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09,0.0,21.0,22.09,6.0,0.0,26
1.0,5.0,0.0,0.0,18.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.35,3.0,18.0,26
2.0,2.0,0.0,12.04,0.0,0.0,0.0,0.0,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.11,6.0,5.0,26
1.0,3.0,15.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.57,0.0,10.0,26
2.0,1.0,0.0,55.78,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,61.68,0.0,17.0,42
